No,약어,영문/원문,한글 해석
1,1CWBA,Single Component Water Based Adhesive,단일 성분 수성 접착제
2,3C,Communication - Consensus - Culture,Communication - Consensus - Culture
3,3C,Character Capital Capacity,문자 자본 용량
4,3CFAW,"3C(Customer, Competitor, Company) Faw(Forces At Work)","3C(Customer, Competitor, Company) Faw(Forces At Work)"
5,3D PDF,Portable Document Format,휴대용 문서 형식
6,3DM,Rhino 3D Model,Rhino 3D 모델
7,3P,People - Process - Product,사람 - 프로세스 - 제품
8,3P,Production Preparation Process,생산 준비 프로세스
9,3R,"Right Place, Right Quantity, Right Container","적절한 장소, 적절한 수량, 적절한 용기"
10,3R,Repair- Reuse - Recycle,수리 - 재사용 - 재활용
11,3S,"Simplification, Standardization, Specialization","단순화, 표준화, 전문화"
12,3S,"Substitution Effect, Scale Effect, Structural Effect","대체 효과, 규모 효과, 구조 효과"
13,3U,"Untact, Unstoppable, Unlimited","언택트, 언스톱어블, 언리미티드"
14,3V,"Volume, Velocity, Variety","볼륨, 속도, 다양성"
15,4M,"Man, Machine, Material, Method","사람, 기계, 자재, 방법"
16,4R,Recruit - Re-Education - Retention - Relief,채용 - 재교육 - 유지 - 지원
17,5S,Sort - Stabilize - Shine - Standardize - Sustain,정리 - 정돈 - 청소 - 표준화 - 유지 관리
18,7S,"Strategy, Structure, System, Staff, Skill, Style, Shared Values","전략, 구조, 시스템, 인력, 역량, 스타일, 공유 가치"
19,A/N,Arrival Notice,도착 통지
20,A/R,All Risks,전위험 담보
21,A2A,Athletes To Asia,아시아 방문 선수 프로그램
22,AA,Always Available,항상 사용 가능
23,AAA,Activation And Assembly,Activation 및 Assembly
24,AAR,After Action Review,사후 조치 검토
25,ABC,"Aggressive Mind, Best Quality, Clean Cs","도전적인 마인드, 최고의 품질, 깔끔한 고객 서비스"
26,ABC 정신,"Aggressive Mind, Best Quality, Clean Environment","공격적인 마인드, 최고의 품질, 깨끗한 환경"
27,ABC analysis,"ABC분석관리. 중점적 관리라고도 하며, 재고조사, 자산관리를 하는 방법의 하나이다. 미국의 GE(General Electric)에서 시작한 방법의 하나로서 물품, 자재, 부분품 등의 재고품에 대하여 금액이 많고 생산에 큰 영향을 미치는 것부터 차례로 A,B,C의 순서를 정하여 A를 가장 중점적으로 다음에 B,C의 순서로 관리를 하는 방법. ABC분석은 특정 기준에 따라 객체들을 분류한다.- A 중요함- B 덜 중요함- C 상대적으로 중요치 않음ABC 분석은 MM, PM, LIS, ABAP Query에서 사용.","ABC analysis management. Also called focused management, it is one of the methods used for inventory checking and asset management. It originated at GE (General Electric) in the United States, and is a method of managing inventory items such as goods, materials, and parts by classifying them in order of impact and value on production into A, B, and C: A items are managed with the highest priority, followed by B and then C.  

ABC analysis classifies objects according to specific criteria.  
- A: important  
- B: less important  
- C: relatively unimportant  

ABC analysis is used in MM, PM, LIS, and ABAP Query."
28,ABN,Airway Bill Number,항공 운송장 번호
29,AC,Anti Circumvention,우회 방지
30,ACCC,Automation Concept Creation Center,Automation Concept Creation Center
31,Account,"전통적으로 계정(Account)이라고 하면 경리(재무회계)에서 기표가 이루어지는 대상이 되는 계정과목 또는 계정코드를 의미한다. 그러나 SAP에서는 Account의 개념을 보다 확장하여 사용하고 있으므로 주의를 요한다. SAP에서는 다음과 같이 Account를 다섯 가지의 유형으로 구분하고 있으며, 이러한 유형구분을 Account Type 이라고 한다.- S  G/L 계정 (전통적인 계정과목/계정코드   )  D  Customer (판매거래처, 기존의 거래처코드)  K  Vendor   (구매거래처, 기존의 거래처코드)  A  Asset    (고정자산번호, 기존의 자산번호)  M  Material (재고자산(자재) 번호          )이렇게 Account의 개념범위를 확장한 것은 계정과목중심의 총계정원장(General ledger)상의 금액과 거래처나 고정자산번호, 자재번호 중심의 보조부(Sub-ledger)상의 금액을 일치시키고, 물류프로세스의 재무회계와의 통합성을 가능하게 하기 위해서이다. 즉, 전통적으로 AR(매출채권), AP(매입채무), 고정자산 등과 관련된 회계전표를 기표하는 경우 해당 계정코드를 지정하고 금액을 입력한 후, 거래처나 고정자산 관련정보를 전표상의 관리항목으로 관리하는 방식을 택하고 있는데에 반하여, SAP는 해당 Customer, Vendor, Asset 번호를 마치 기존의 계정코드인 것처럼 기표를 하면, 그와 연결이 되는 계정코드(SAP의 G/L Account)는 자동으로 결정되는 방식으로 되어 있다.","전통적으로 계정(Account)이라고 하면 경리(재무회계)에서 기표가 이루어지는 대상이 되는 계정과목 또는 계정코드를 의미한다. 그러나 SAP에서는 Account의 개념을 보다 확장하여 사용하고 있으므로 주의를 요한다. SAP에서는 다음과 같이 Account를 다섯 가지의 유형으로 구분하고 있으며, 이러한 유형구분을 Account Type 이라고 한다.- S  G/L 계정 (전통적인 계정과목/계정코드   )  D  Customer (판매거래처, 기존의 거래처코드)  K  Vendor   (구매거래처, 기존의 거래처코드)  A  Asset    (고정자산번호, 기존의 자산번호)  M  Material (재고자산(자재) 번호          )이렇게 Account의 개념범위를 확장한 것은 계정과목중심의 총계정원장(General ledger)상의 금액과 거래처나 고정자산번호, 자재번호 중심의 보조부(Sub-ledger)상의 금액을 일치시키고, 물류프로세스의 재무회계와의 통합성을 가능하게 하기 위해서이다. 즉, 전통적으로 AR(매출채권), AP(매입채무), 고정자산 등과 관련된 회계전표를 기표하는 경우 해당 계정코드를 지정하고 금액을 입력한 후, 거래처나 고정자산 관련정보를 전표상의 관리항목으로 관리하는 방식을 택하고 있는데에 반하여, SAP는 해당 Customer, Vendor, Asset 번호를 마치 기존의 계정코드인 것처럼 기표를 하면, 그와 연결이 되는 계정코드(SAP의 G/L Account)는 자동으로 결정되는 방식으로 되어 있다."
32,Account assignment,계정지정 - FI  차변 항목에 특정 일자에 기표된 거래의 비용과 소득을 할당하는 것. 차변 항목은 다음과 같은 것들이 있다 cost center order project cost object- CO  업무 거래시 어느 계정에 전기(posting)할 것인가를 지정하는 것. cf) 추가계정지정 (Additional account assignment),"Account Assignment - FI: 차변 항목에 대해 특정 일자에 기표된 거래의 비용과 수익을 할당하는 것. 차변 항목에는 다음과 같은 것들이 있다: cost center, order, project, cost object  
Account Assignment - CO: 업무 거래 시 어느 계정에 전기(posting)할 것인가를 지정하는 것  
cf) Additional Account Assignment (추가 계정지정)"
33,"Account assignment, automatic",자동계정지정,Automatic account assignment
